ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-4.30688e-05,1.86339e-05,-1.14706e-05,3.25442e-05,0.000131194,-2.01159e-05,8.02756e-05,-1.70629e-06,1
-4.00657e-05,2.7686e-05,-1.04276e-05,2.31211e-05,7.75162e-05,-2.39442e-05,7.07151e-05,-3.45973e-06,1
-3.25278e-05,4.10301e-05,-7.73309e-06,8.42625e-06,3.66246e-05,-2.57758e-05,6.11312e-05,-4.73281e-06,1
-2.2531e-05,5.34013e-05,-4.89507e-06,-8.63592e-06,2.78186e-05,-2.89116e-05,5.388e-05,-3.09566e-06,1
-1.34969e-05,5.65897e-05,-1.81378e-06,-2.43325e-05,3.89826e-05,-2.56159e-05,4.78226e-05,-1.91914e-08,1
-7.92411e-06,5.03259e-05,-4.27727e-07,-4.53781e-05,4.13535e-05,-1.24873e-05,4.17562e-05,9.13863e-07,1
-6.30526e-06,4.23796e-05,-3.25395e-06,-7.48894e-05,1.84586e-05,-1.21212e-06,3.3087e-05,-1.18224e-06,1
-6.76535e-06,3.66908e-05,-9.38782e-06,-9.85987e-05,-2.03742e-05,-2.05885e-06,2.08608e-05,-2.78849e-06,1
-9.32485e-06,3.00781e-05,-1.36435e-05,-0.000102972,-5.51288e-05,-1.13019e-05,2.19503e-06,-2.8086e-06,1
-1.96462e-05,1.79002e-05,-1.46882e-05,-9.06814e-05,-7.44029e-05,-1.94841e-05,-4.21327e-05,-4.20427e-06,1
-4.55368e-05,-8.86734e-07,-1.58479e-05,-7.03753e-05,-7.67587e-05,-2.22821e-05,-0.000115659,-6.19646e-06,1
-7.737e-05,-1.70894e-05,-1.91412e-05,-5.07441e-05,-7.60237e-05,-2.33847e-05,-0.000160786,-7.07532e-06,1
-9.16115e-05,-2.29801e-05,-2.19667e-05,-4.01939e-05,-8.82306e-05,-2.67122e-05,-0.000131593,-8.06548e-06,1
-8.09926e-05,-2.21937e-05,-2.1057e-05,-3.54705e-05,-0.000102072,-3.12912e-05,-3.89257e-05,-8.63202e-06,1
-5.89978e-05,-2.44504e-05,-1.91635e-05,-3.43449e-05,-0.00010539,-3.23054e-05,6.11485e-05,-7.05096e-06,1
-4.01759e-05,-2.594e-05,-1.64763e-05,-2.93577e-05,-9.5558e-05,-3.02338e-05,0.000117164,-5.88255e-06,1
-2.10977e-05,-1.55255e-05,-1.36253e-05,-1.44951e-05,-5.9892e-05,-2.72935e-05,0.000127721,-5.31511e-06,1
3.56134e-06,8.88158e-07,-1.21935e-05,7.13262e-07,6.88816e-07,-2.55922e-05,0.00010692,-3.63101e-06,1
2.84912e-05,9.65022e-06,-1.07258e-05,1.38862e-05,5.80389e-05,-2.47939e-05,7.88153e-05,-3.31797e-06,1
5.24031e-05,1.01401e-05,-1.07103e-05,2.58375e-05,9.55031e-05,-2.07012e-05,5.41023e-05,-5.23056e-06,1
6.36246e-05,1.12822e-05,-1.14702e-05,3.98989e-05,0.000123545,-1.13841e-05,3.78232e-05,-6.94567e-06,1
4.94693e-05,7.7199e-06,-1.09859e-05,5.39448e-05,0.000142931,1.38313e-07,2.42304e-05,-5.76683e-06,1
