ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-2.7077e-05,8.80542e-06,-5.95993e-06,3.2799e-06,1.02758e-05,-1.63836e-05,1.34359e-05,-2.89831e-06,0
-2.71488e-05,5.85573e-06,-5.71205e-06,2.50119e-07,1.05708e-05,-1.46836e-05,1.38686e-05,3.15481e-07,0
-2.66594e-05,4.99426e-06,-5.90963e-06,-3.59292e-06,1.07554e-05,-1.37491e-05,1.51617e-05,2.39951e-06,0
-2.64948e-05,6.29056e-06,-6.21723e-06,-8.12984e-06,1.00541e-05,-1.37201e-05,1.5681e-05,5.06007e-07,0
-2.84665e-05,7.53017e-06,-5.83657e-06,-1.34763e-05,8.60009e-06,-1.43017e-05,1.54073e-05,-2.23796e-06,0
-3.1032e-05,7.02165e-06,-5.08479e-06,-1.89004e-05,7.3042e-06,-1.61737e-05,1.5983e-05,-2.83105e-06,0
-3.31285e-05,5.57708e-06,-4.93489e-06,-1.9889e-05,7.25067e-06,-1.68427e-05,1.60776e-05,-1.53923e-06,0
-3.41767e-05,5.00478e-06,-5.68609e-06,-1.19716e-05,7.81094e-06,-1.51382e-05,1.36897e-05,-3.68012e-07,0
-3.44357e-05,6.65343e-06,-6.02559e-06,1.211e-06,8.96e-06,-1.32959e-05,1.03187e-05,-4.01615e-07,0
-3.30825e-05,1.06695e-05,-5.61739e-06,1.32431e-05,1.15407e-05,-1.30551e-05,9.0283e-06,-1.42004e-06,0
-3.13176e-05,1.4019e-05,-6.02137e-06,2.16216e-05,1.38589e-05,-1.22524e-05,9.59942e-06,-1.42678e-06,0
-3.0531e-05,1.42282e-05,-8.88247e-06,2.59082e-05,1.38414e-05,-1.0792e-05,1.03978e-05,1.19441e-06,0
-3.10121e-05,1.46417e-05,-1.25026e-05,2.64102e-05,1.38283e-05,-9.44203e-06,6.69947e-06,3.76741e-06,0
-3.04574e-05,1.70581e-05,-1.40049e-05,2.32359e-05,1.37217e-05,-7.93951e-06,-7.80467e-06,4.31156e-06,0
-2.75307e-05,1.93588e-05,-1.30507e-05,1.52704e-05,1.3806e-05,-8.09185e-06,-2.64313e-05,3.27348e-06,0
-2.51375e-05,2.1942e-05,-1.22256e-05,2.76052e-06,1.40299e-05,-9.51977e-06,-3.31906e-05,2.37264e-06,0
-2.59954e-05,2.26057e-05,-1.22746e-05,-9.78037e-06,1.38562e-05,-9.88493e-06,-2.22784e-05,2.60742e-06,0
-2.92731e-05,1.9635e-05,-1.07886e-05,-1.45845e-05,1.34607e-05,-9.64875e-06,-1.58516e-06,3.66654e-06,0
-3.19619e-05,1.59049e-05,-7.00446e-06,-1.1539e-05,1.30032e-05,-9.77389e-06,1.77326e-05,2.71107e-06,0
-3.15761e-05,1.44702e-05,-2.89754e-07,-8.22185e-06,1.46258e-05,-1.04605e-05,3.15024e-05,6.65599e-07,0
-2.92675e-05,1.51707e-05,1.04898e-05,-7.16105e-06,1.74908e-05,-1.0601e-05,4.01392e-05,1.25138e-06,0
-2.87534e-05,1.59808e-05,2.27888e-05,-9.08159e-06,1.88029e-05,-9.54289e-06,4.29582e-05,2.91241e-06,0
-2.97599e-05,1.54418e-05,3.47481e-05,-1.22086e-05,1.75441e-05,-8.00757e-06,3.99162e-05,3.74955e-06,0
-3.1719e-05,1.38582e-05,4.60631e-05,-1.45729e-05,1.53557e-05,-7.91532e-06,3.56182e-05,4.32642e-06,0
-3.31027e-05,1.1924e-05,5.15687e-05,-1.61015e-05,1.45414e-05,-8.88556e-06,3.11573e-05,5.18378e-06,0
-3.26829e-05,1.11576e-05,4.55156e-05,-1.58088e-05,1.51189e-05,-1.08487e-05,2.8245e-05,4.40417e-06,0
-3.01828e-05,1.16667e-05,2.71132e-05,-1.27274e-05,1.5331e-05,-1.3852e-05,2.74897e-05,3.68186e-06,0
-2.85093e-05,1.39961e-05,-4.48216e-07,-8.0657e-06,1.52963e-05,-1.47446e-05,2.94869e-05,3.37097e-06,0
-2.86969e-05,1.57132e-05,-2.87005e-05,-5.54456e-06,1.51009e-05,-1.32443e-05,3.57288e-05,3.47106e-06,0
-2.91523e-05,1.42561e-05,-4.82341e-05,-6.09084e-06,1.48867e-05,-1.17283e-05,4.28516e-05,3.88783e-06,0
-2.92658e-05,1.02288e-05,-5.59513e-05,-7.08436e-06,1.41651e-05,-1.19609e-05,4.92744e-05,4.15973e-06,0
-2.8901e-05,6.08541e-06,-5.28862e-05,-7.78707e-06,1.31246e-05,-1.19898e-05,5.40302e-05,5.01345e-06,0
-2.86193e-05,5.02672e-06,-4.15042e-05,-9.37724e-06,1.1848e-05,-1.09512e-05,5.51376e-05,5.82906e-06,0
