ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-3.2323e-05,-4.57996e-06,-4.42774e-06,-2.06631e-05,6.26591e-06,-1.88016e-05,-5.59824e-06,1.27462e-06,0
-3.41473e-05,-5.00111e-06,-2.97922e-06,-2.98552e-05,6.34444e-06,-1.70519e-05,3.12982e-06,-3.08008e-07,0
-3.38268e-05,-5.2037e-06,-2.81162e-06,-3.9777e-05,7.92269e-06,-1.40243e-05,1.25009e-05,-1.25118e-06,0
-3.22278e-05,-3.49115e-06,-4.68601e-06,-4.71917e-05,8.10264e-06,-1.18041e-05,1.94746e-05,2.21879e-07,0
-3.12222e-05,-1.0339e-06,-6.60242e-06,-5.10558e-05,6.39981e-06,-1.04504e-05,2.06727e-05,1.06169e-06,0
-3.14792e-05,1.93398e-06,-7.5647e-06,-4.85512e-05,5.32745e-06,-9.24521e-06,1.69287e-05,1.36945e-06,0
-3.14546e-05,5.23216e-06,-7.65645e-06,-3.96836e-05,5.90337e-06,-9.1092e-06,1.25805e-05,1.92372e-06,0
-3.06015e-05,8.47647e-06,-6.78159e-06,-2.92847e-05,6.95318e-06,-1.0295e-05,1.06179e-05,2.53578e-06,0
-3.0145e-05,1.02282e-05,-5.33192e-06,-2.24601e-05,8.05696e-06,-1.13322e-05,1.14527e-05,3.58343e-06,0
-2.98863e-05,1.11621e-05,-3.69929e-06,-1.79873e-05,8.54742e-06,-1.03067e-05,1.4298e-05,4.56021e-06,0
-2.86766e-05,1.11054e-05,-2.83113e-06,-1.37302e-05,8.65104e-06,-8.15041e-06,1.72106e-05,4.5961e-06,0
-2.64457e-05,9.73022e-06,-2.02807e-06,-7.91371e-06,8.93123e-06,-6.84199e-06,1.8787e-05,4.95078e-06,0
-2.60137e-05,9.86504e-06,-7.14543e-07,-1.28453e-06,9.10383e-06,-6.61414e-06,1.83908e-05,5.47022e-06,0
-2.814e-05,1.21823e-05,1.68741e-06,4.19959e-06,8.38995e-06,-6.96585e-06,1.65382e-05,6.4069e-06,0
-2.89258e-05,1.48212e-05,3.36874e-06,5.29307e-06,6.95954e-06,-7.46799e-06,1.52595e-05,8.6662e-06,0
-2.76233e-05,1.68816e-05,2.32959e-06,1.39746e-06,6.52e-06,-6.35346e-06,1.46707e-05,9.61566e-06,0
-2.55526e-05,1.76992e-05,2.03662e-07,-1.3237e-06,8.33399e-06,-4.86432e-06,1.49192e-05,9.8398e-06,0
-2.47292e-05,1.84515e-05,-1.94412e-06,6.66038e-06,1.15717e-05,-5.01649e-06,1.58475e-05,9.95276e-06,0
-2.57513e-05,1.80975e-05,-5.24632e-06,2.33141e-05,1.23294e-05,-6.14682e-06,1.67088e-05,8.77181e-06,0
-2.76397e-05,1.45181e-05,-7.78555e-06,2.92775e-05,8.6058e-06,-6.95554e-06,1.61879e-05,6.94139e-06,0
-2.9908e-05,1.24627e-05,-7.39254e-06,1.88785e-05,4.8022e-06,-5.92463e-06,1.60368e-05,6.97816e-06,0
-3.06674e-05,1.33434e-05,-6.63476e-06,3.47755e-06,4.63648e-06,-4.27517e-06,1.71771e-05,9.55751e-06,0
-2.95328e-05,1.50713e-05,-6.31951e-06,-7.73477e-06,7.55502e-06,-2.80483e-06,1.79731e-05,1.04566e-05,0
-2.73317e-05,1.56319e-05,-7.6166e-06,-1.17166e-05,1.1726e-05,-2.92183e-06,1.86218e-05,8.73003e-06,0
-2.59574e-05,1.50089e-05,-1.08486e-05,-1.30125e-05,1.47881e-05,-3.92424e-06,1.76305e-05,7.75795e-06,0
-2.6899e-05,1.47814e-05,-1.32187e-05,-1.57196e-05,1.51772e-05,-4.89812e-06,1.53128e-05,8.14704e-06,0
-2.89666e-05,1.30161e-05,-1.37943e-05,-2.00958e-05,1.46595e-05,-6.51118e-06,1.16668e-05,9.78348e-06,0
-2.95413e-05,1.12666e-05,-1.29917e-05,-2.57245e-05,1.44016e-05,-8.79083e-06,8.93616e-06,1.01695e-05,0
-2.9602e-05,1.13908e-05,-1.19039e-05,-3.37867e-05,1.34055e-05,-1.08488e-05,8.71555e-06,7.85346e-06,0
-3.0971e-05,1.23735e-05,-1.04042e-05,-4.03957e-05,1.44364e-05,-1.08105e-05,9.98677e-06,6.26517e-06,0
-3.22018e-05,1.3512e-05,-8.19892e-06,-3.93269e-05,1.65387e-05,-9.03738e-06,1.28307e-05,7.00268e-06,0
-3.18413e-05,1.37562e-05,-5.20579e-06,-2.92313e-05,1.68134e-05,-7.2594e-06,1.49767e-05,6.93435e-06,0
-3.13824e-05,1.41548e-05,-2.72491e-06,-1.68145e-05,1.4922e-05,-7.61764e-06,1.53771e-05,5.10942e-06,0
-3.21755e-05,1.63965e-05,-1.88578e-06,-9.88351e-06,1.21413e-05,-9.70923e-06,1.44458e-05,3.89287e-06,0
-3.22686e-05,2.02539e-05,-2.35938e-06,-8.22349e-06,1.00542e-05,-1.17932e-05,1.37602e-05,3.66302e-06,0
-3.09634e-05,2.33915e-05,-2.96422e-06,-7.88296e-06,9.81989e-06,-1.18819e-05,1.4481e-05,2.95464e-06,0
-3.00185e-05,2.53149e-05,-2.8825e-06,-6.02266e-06,9.90304e-06,-1.04884e-05,1.59563e-05,1.5293e-06,0
-3.10984e-05,2.63837e-05,-2.61226e-06,-3.94906e-06,8.56367e-06,-1.00806e-05,1.3572e-05,-2.4329e-07,0
-3.28881e-05,2.64139e-05,-4.0627e-06,-2.4535e-06,7.48466e-06,-1.08628e-05,2.34649e-06,-3.04058e-06,0
-3.40152e-05,2.50784e-05,-7.3245e-06,-3.22859e-06,8.35268e-06,-1.14878e-05,-1.19323e-05,-5.25417e-06,0
-3.45336e-05,2.32247e-05,-9.4332e-06,-5.23891e-06,1.08297e-05,-1.11546e-05,-1.73717e-05,-7.17104e-06,0
-3.36672e-05,2.26531e-05,-9.51453e-06,-6.96521e-06,1.32099e-05,-1.0278e-05,-1.15566e-05,-9.23179e-06,0
-3.18149e-05,2.27413e-05,-8.19945e-06,-7.98903e-06,1.45919e-05,-9.98686e-06,1.04132e-06,-8.84408e-06,0
-3.11512e-05,2.03571e-05,-6.93058e-06,-1.01995e-05,1.45525e-05,-1.10054e-05,1.44922e-05,-6.661e-06,0
-3.08299e-05,1.49068e-05,-5.80184e-06,-1.56293e-05,1.37479e-05,-1.23253e-05,2.4534e-05,-4.96655e-06,0
-3.02145e-05,1.1293e-05,-5.49073e-06,-2.02274e-05,1.38858e-05,-1.33217e-05,3.4069e-05,-4.64724e-06,0
-3.03428e-05,1.35706e-05,-5.31667e-06,-1.92321e-05,1.5187e-05,-1.32468e-05,4.34293e-05,-5.13942e-06,0
-3.16706e-05,1.71235e-05,-4.8703e-06,-1.26516e-05,1.44228e-05,-1.134e-05,4.81638e-05,-4.47497e-06,0
-3.20044e-05,1.73715e-05,-4.89014e-06,-1.66316e-06,1.2219e-05,-9.62663e-06,4.84091e-05,-1.741e-06,0
-2.99098e-05,1.70056e-05,-4.73331e-06,9.07354e-06,1.05868e-05,-8.57e-06,4.52536e-05,5.02007e-08,0
-2.86124e-05,1.51789e-05,-5.47666e-06,1.37564e-05,1.01749e-05,-6.78165e-06,4.02714e-05,-1.31068e-07,0
