ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-3.05651e-05,1.91385e-05,-1.41981e-05,-5.02963e-06,1.55062e-05,-1.14566e-05,5.49479e-06,4.24502e-06,0
-2.87078e-05,1.51569e-05,-1.44e-05,-7.55822e-06,1.14873e-05,-1.28568e-05,7.89817e-06,4.97417e-06,0
-2.66599e-05,1.50035e-05,-1.31593e-05,3.42416e-06,7.84959e-06,-1.24053e-05,1.29355e-05,3.24179e-06,0
-2.4513e-05,1.49345e-05,-9.95697e-06,2.76349e-05,9.61523e-06,-1.10009e-05,1.50436e-05,1.21167e-06,0
-2.31033e-05,1.02234e-05,-7.43721e-06,4.69873e-05,1.36196e-05,-1.10153e-05,1.53594e-05,1.89673e-07,0
-2.30098e-05,4.90256e-07,-6.37555e-06,4.94773e-05,1.48841e-05,-1.25804e-05,1.39474e-05,-4.1969e-07,0
-2.50435e-05,-9.17099e-06,-5.5057e-06,3.71626e-05,1.66005e-05,-1.29636e-05,1.01568e-05,-1.26896e-06,0
-2.72754e-05,-1.54785e-05,-5.39101e-06,1.89125e-05,1.91646e-05,-1.39552e-05,6.65817e-06,-2.45069e-06,0
-2.78515e-05,-2.09468e-05,-6.4049e-06,3.4098e-06,2.04339e-05,-1.48083e-05,4.98881e-06,-4.49149e-06,0
-2.75372e-05,-2.52663e-05,-8.22939e-06,-7.10848e-06,1.956e-05,-1.45872e-05,4.87486e-06,-6.19122e-06,0
-2.75733e-05,-1.95921e-05,-9.60434e-06,-1.46103e-05,1.79466e-05,-1.39859e-05,6.09077e-06,-6.01847e-06,0
-2.76669e-05,8.82937e-06,-9.86612e-06,-2.08051e-05,1.65525e-05,-1.3569e-05,7.60681e-06,-5.40015e-06,0
-2.66905e-05,6.67372e-05,-9.17212e-06,-2.53798e-05,1.54663e-05,-1.34269e-05,7.67791e-06,-4.24545e-06,0
-2.53695e-05,0.000135808,-8.34223e-06,-2.88806e-05,1.45188e-05,-1.30151e-05,6.98531e-06,-3.78287e-06,0
-2.44977e-05,0.000185194,-8.2275e-06,-3.27882e-05,1.29677e-05,-1.30595e-05,6.78797e-06,-4.77751e-06,0
-2.34956e-05,0.000201135,-9.44904e-06,-3.83755e-05,1.11359e-05,-1.25118e-05,8.4487e-06,-5.76953e-06,0
-2.14361e-05,0.000184696,-1.1013e-05,-4.41173e-05,1.05397e-05,-1.04532e-05,1.01504e-05,-5.20111e-06,0
-1.96925e-05,0.000134257,-1.17983e-05,-4.64437e-05,1.02384e-05,-8.58595e-06,9.89893e-06,-4.10976e-06,0
-1.85351e-05,5.57811e-05,-1.25859e-05,-4.15487e-05,8.92399e-06,-8.46819e-06,8.27392e-06,-3.34738e-06,0
-1.76581e-05,-3.68701e-05,-1.35751e-05,-3.28378e-05,8.2821e-06,-7.97195e-06,9.47297e-06,-2.55266e-06,0
-1.70309e-05,-0.000120679,-1.35103e-05,-2.80432e-05,9.8567e-06,-6.46362e-06,1.2735e-05,-1.48011e-06,0
-1.70119e-05,-0.000169041,-1.19618e-05,-2.79492e-05,1.11996e-05,-4.92395e-06,1.50997e-05,-9.01012e-07,0
-1.82663e-05,-0.000174104,-1.08515e-05,-2.71076e-05,1.06405e-05,-3.73197e-06,1.71292e-05,-1.10106e-06,0
-2.22239e-05,-0.000157166,-1.32778e-05,-2.2195e-05,1.04682e-05,-4.26449e-06,1.7914e-05,-9.43073e-07,0
-2.94034e-05,-0.000147028,-1.78714e-05,-1.58612e-05,9.9167e-06,-8.30743e-06,1.6214e-05,8.72545e-07,0
-3.72925e-05,-0.0001418,-2.35574e-05,-1.28865e-05,7.81261e-06,-1.40211e-05,1.54517e-05,2.51628e-06,0
-4.1515e-05,-0.000130203,-3.02296e-05,-1.38725e-05,4.9752e-06,-1.71741e-05,1.7055e-05,2.78052e-06,0
-4.04575e-05,-0.000113295,-3.40038e-05,-1.41149e-05,2.00816e-06,-1.71637e-05,1.71604e-05,3.28056e-06,0
-3.81218e-05,-9.74301e-05,-3.25446e-05,-1.37965e-05,9.66e-07,-1.57542e-05,1.43849e-05,3.62389e-06,0
-3.52487e-05,-8.41469e-05,-2.67068e-05,-1.56671e-05,1.44318e-06,-1.40526e-05,1.19295e-05,4.29388e-06,0
-3.31926e-05,-7.06241e-05,-2.12821e-05,-1.94403e-05,2.60725e-06,-1.27395e-05,1.18198e-05,7.16077e-06,0
-3.26227e-05,-5.72978e-05,-1.76143e-05,-2.24654e-05,3.34527e-06,-1.1087e-05,1.27839e-05,9.31194e-06,0
-3.23206e-05,-4.26165e-05,-1.31465e-05,-2.07226e-05,3.37491e-06,-1.17342e-05,1.25378e-05,8.74948e-06,0
-3.20699e-05,-2.82988e-05,-4.70731e-06,-1.70837e-05,4.09745e-06,-1.57488e-05,1.09007e-05,8.90332e-06,0
-3.06416e-05,-1.91122e-05,1.04386e-05,-1.49434e-05,4.13997e-06,-2.17283e-05,1.11756e-05,8.78089e-06,0
-2.89223e-05,-1.53609e-05,3.19258e-05,-1.14647e-05,4.40109e-06,-2.94155e-05,1.23748e-05,8.36851e-06,0
-2.80745e-05,-1.3469e-05,5.48277e-05,-4.6739e-06,4.04073e-06,-2.89298e-05,1.27697e-05,7.91589e-06,0
-2.75422e-05,-1.2304e-05,6.797e-05,3.0471e-06,3.04909e-06,-8.96665e-06,1.28115e-05,7.0694e-06,0
-2.61058e-05,-1.27877e-05,6.11013e-05,9.4985e-06,3.53601e-06,1.85759e-05,1.35867e-05,5.7955e-06,0
-2.55629e-05,-1.14045e-05,3.15487e-05,1.3871e-05,5.99122e-06,2.92399e-05,1.47865e-05,4.89014e-06,0
-2.64952e-05,-6.06995e-06,-1.17558e-05,1.59601e-05,8.36135e-06,1.87497e-05,1.56994e-05,5.38217e-06,0
-2.786e-05,1.43747e-06,-5.3607e-05,1.74786e-05,9.29661e-06,3.07879e-06,1.61876e-05,5.91117e-06,0
-2.8439e-05,8.675e-06,-8.35803e-05,1.86743e-05,9.79876e-06,-5.97562e-06,1.76264e-05,6.26116e-06,0
-2.88184e-05,1.22016e-05,-9.83944e-05,1.86757e-05,9.34747e-06,-1.0993e-05,2.04725e-05,5.5736e-06,0
-3.01423e-05,1.27852e-05,-9.77203e-05,1.72495e-05,6.69546e-06,-1.50519e-05,2.16628e-05,3.74187e-06,0
-3.187e-05,1.55043e-05,-8.39645e-05,1.48018e-05,4.05643e-06,-1.7148e-05,2.02007e-05,1.17791e-06,0
-3.29582e-05,2.18888e-05,-6.42624e-05,1.2358e-05,5.08943e-06,-1.64659e-05,1.78498e-05,-1.81316e-06,0
-3.21484e-05,2.82283e-05,-4.67099e-05,1.20721e-05,8.15545e-06,-1.39198e-05,1.63619e-05,-3.21234e-06,0
-2.93134e-05,3.14391e-05,-3.32971e-05,1.35479e-05,9.69169e-06,-1.2679e-05,1.55163e-05,-2.77775e-06,0
-2.61785e-05,3.07259e-05,-2.22404e-05,1.41892e-05,7.70774e-06,-1.21504e-05,1.43075e-05,-2.53277e-06,0
-2.58821e-05,2.79735e-05,-1.30961e-05,1.33393e-05,4.82358e-06,-1.18575e-05,1.32093e-05,-3.34381e-06,0
-2.80555e-05,2.62794e-05,-7.85891e-06,1.23021e-05,2.96446e-06,-1.37432e-05,1.19621e-05,-4.40887e-06,0
-2.8754e-05,2.58376e-05,-5.96348e-06,1.00261e-05,4.12559e-06,-1.46405e-05,9.3905e-06,-3.38052e-06,0
-2.74405e-05,2.76968e-05,-3.5331e-06,5.77946e-06,9.07228e-06,-1.32477e-05,7.61728e-06,-2.36873e-06,0
-2.66983e-05,3.67426e-05,-1.47845e-06,2.61725e-06,1.29035e-05,-1.29888e-05,8.69245e-06,-3.63731e-06,0
-2.54733e-05,5.50277e-05,-4.7719e-07,-2.52823e-07,1.5495e-05,-1.38045e-05,9.86093e-06,-5.79158e-06,0
-2.36829e-05,7.4746e-05,2.75056e-07,-2.54509e-06,1.80859e-05,-1.28767e-05,1.0079e-05,-6.43263e-06,0
-2.24908e-05,8.56874e-05,2.2308e-07,-2.72166e-06,1.87943e-05,-1.24019e-05,1.07608e-05,-6.30351e-06,0
-2.15905e-05,8.96901e-05,-2.91118e-07,-1.62225e-06,1.93195e-05,-1.25873e-05,1.1549e-05,-5.48655e-06,0
-2.05561e-05,9.64627e-05,1.21116e-06,-5.81399e-07,2.08105e-05,-1.24389e-05,1.21899e-05,-3.08026e-06,0
-2.10852e-05,0.000109522,3.28621e-06,-7.56307e-07,2.14673e-05,-1.27494e-05,1.232e-05,-1.09111e-06,0
-2.24535e-05,0.000119002,3.36985e-06,-2.08988e-06,1.91445e-05,-1.29068e-05,1.27193e-05,2.77523e-07,0
-2.34101e-05,0.000112243,3.45355e-06,-4.23566e-06,1.57413e-05,-1.13995e-05,1.2758e-05,8.29407e-07,0
-2.46052e-05,9.10172e-05,4.35989e-06,-4.60776e-06,1.30323e-05,-9.31474e-06,1.19215e-05,9.44441e-07,0
-2.55518e-05,6.2562e-05,5.02775e-06,-3.28345e-06,1.22651e-05,-9.95468e-06,1.07189e-05,1.58411e-06,0
-2.62279e-05,2.95918e-05,4.34162e-06,-4.20119e-07,1.47073e-05,-1.15151e-05,9.49323e-06,3.44722e-06,0
-2.76386e-05,-6.98637e-06,2.3067e-06,2.63845e-06,1.82455e-05,-1.1762e-05,8.95611e-06,4.73784e-06,0
-2.9604e-05,-4.01543e-05,8.59806e-07,2.70192e-06,2.02413e-05,-1.03082e-05,9.5526e-06,4.21436e-06,0
-3.02453e-05,-5.92024e-05,2.1286e-07,-4.05208e-08,2.05928e-05,-1.01218e-05,1.10778e-05,2.41383e-06,0
-3.08435e-05,-5.90712e-05,-1.61537e-06,-3.36028e-06,2.07459e-05,-1.23416e-05,1.38392e-05,9.00313e-07,0
-3.28737e-05,-4.33284e-05,-3.51926e-06,-6.13274e-06,2.13494e-05,-1.42899e-05,1.74673e-05,5.01825e-07,0
-3.44685e-05,-2.02986e-05,-3.82527e-06,-8.5037e-06,2.29633e-05,-1.38392e-05,1.99345e-05,5.41198e-07,0
-3.40167e-05,1.18625e-05,-2.32442e-06,-9.84831e-06,2.32145e-05,-1.17665e-05,1.96528e-05,6.98672e-07,0
-3.20569e-05,7.07527e-05,-1.26624e-07,-1.1214e-05,2.26802e-05,-1.02463e-05,1.32637e-05,1.03792e-06,0
-3.05263e-05,0.000155556,1.55975e-06,-1.51678e-05,2.32563e-05,-1.02246e-05,6.16523e-07,1.99941e-06,0
-3.08896e-05,0.00022433,2.6777e-06,-2.32364e-05,2.33626e-05,-1.01571e-05,-9.88347e-06,2.46963e-06,0
-3.18136e-05,0.000244203,4.21573e-06,-3.1952e-05,2.07974e-05,-9.41444e-06,-1.19251e-05,8.77482e-07,0
-3.15069e-05,0.000219806,6.42196e-06,-3.50984e-05,1.82891e-05,-8.57922e-06,-6.59259e-06,-1.22526e-06,0
-2.95154e-05,0.000169132,7.69112e-06,-3.1054e-05,1.74051e-05,-7.94086e-06,1.24307e-06,3.46561e-07,0
-2.65132e-05,9.28333e-05,7.0617e-06,-2.4095e-05,1.63759e-05,-7.30813e-06,1.10899e-05,2.87086e-06,0
-2.43153e-05,4.79926e-06,5.42224e-06,-2.19289e-05,1.52827e-05,-6.61083e-06,2.25979e-05,2.454e-06,0
-2.38925e-05,-7.39495e-05,5.08695e-06,-2.53239e-05,1.57679e-05,-6.77813e-06,3.21605e-05,-3.8162e-07,0
-2.37981e-05,-0.000129716,6.14676e-06,-2.50555e-05,1.76506e-05,-6.44786e-06,3.78759e-05,-4.09516e-06,0
-2.63191e-05,-0.000148231,5.62157e-06,-1.47715e-05,1.77778e-05,-4.93715e-06,3.78092e-05,-4.69604e-06,0
-3.179e-05,-0.00014827,4.03797e-06,6.10964e-06,1.66558e-05,-2.77347e-06,3.66578e-05,-2.74347e-06,0
-3.68471e-05,-0.000140138,2.73235e-06,2.84653e-05,1.48471e-05,-1.12891e-06,3.49084e-05,-1.04905e-06,0
-3.87836e-05,-0.000123099,-2.53375e-07,4.33789e-05,1.26599e-05,-1.86707e-06,3.27217e-05,-1.05632e-06,0
-3.9475e-05,-9.60297e-05,-5.39517e-06,4.76379e-05,1.24572e-05,-3.67611e-06,2.85666e-05,-2.08369e-06,0
-3.98493e-05,-6.74342e-05,-9.16392e-06,4.33951e-05,1.36399e-05,-4.8254e-06,2.42927e-05,-1.96724e-06,0
-3.90187e-05,-4.51696e-05,-9.66901e-06,3.44255e-05,1.37406e-05,-5.40859e-06,2.19661e-05,-1.14063e-06,0
-3.79924e-05,-2.62144e-05,-1.05732e-05,2.25682e-05,1.26914e-05,-4.54437e-06,1.96104e-05,-1.31976e-06,0
-3.60793e-05,-6.73274e-06,-1.19662e-05,1.24297e-05,1.1299e-05,-3.29462e-06,1.79068e-05,-2.70612e-06,0
-3.34323e-05,1.81983e-05,-1.14913e-05,6.98673e-06,1.08631e-05,-4.15067e-06,1.66797e-05,-3.31311e-06,0
-3.14343e-05,4.55837e-05,-8.96177e-06,6.14547e-06,1.14324e-05,-6.53737e-06,1.74715e-05,-2.62807e-06,0
-3.13396e-05,7.22565e-05,-6.44027e-06,4.29642e-06,1.03481e-05,-8.58309e-06,1.84187e-05,-2.89015e-06,0
-3.17125e-05,9.47852e-05,-5.33323e-06,-1.11651e-06,6.47824e-06,-1.05272e-05,1.83752e-05,-4.42119e-06,0
-3.1992e-05,0.000114556,-4.57931e-06,-6.11951e-06,2.74128e-06,-1.25616e-05,1.54213e-05,-4.37708e-06,0
-3.21886e-05,0.000126524,-4.27817e-06,-5.93261e-06,1.6414e-06,-1.47217e-05,1.07171e-05,-2.49045e-06,0
-3.25617e-05,0.000122724,-5.66441e-06,-2.25128e-06,2.29398e-06,-1.60855e-05,6.40483e-06,-4.22445e-07,0
-3.20184e-05,9.75893e-05,-7.51727e-06,9.59043e-07,2.86537e-06,-1.5138e-05,4.22089e-06,1.41699e-06,0
-3.15805e-05,5.65957e-05,-6.67783e-06,1.61989e-06,4.4659e-06,-1.22154e-05,3.07627e-06,2.09526e-06,0
-3.1813e-05,5.79085e-06,-3.35326e-06,9.29465e-07,8.51769e-06,-1.05953e-05,2.42802e-06,1.77839e-06,0
-3.23789e-05,-4.49728e-05,-6.82031e-07,1.41357e-06,1.24212e-05,-1.10134e-05,2.44365e-06,1.91627e-06,0
-3.31686e-05,-8.99802e-05,-2.07801e-06,2.3508e-06,1.42952e-05,-1.20385e-05,2.54204e-06,2.0639e-06,0
-3.56826e-05,-0.000125526,-6.31229e-06,1.934e-06,1.37374e-05,-1.4382e-05,3.74493e-06,3.07306e-06,0
-3.92408e-05,-0.000130721,-9.12073e-06,2.84493e-07,1.09532e-05,-1.59732e-05,6.02554e-06,3.5879e-06,0
-3.96102e-05,-9.75163e-05,-1.08254e-05,-1.2927e-06,9.04091e-06,-1.31929e-05,7.87802e-06,2.51169e-06,0
-3.66808e-05,-5.29786e-05,-1.2859e-05,-2.3798e-07,1.28941e-05,-8.94443e-06,8.18599e-06,2.62059e-06,0
-3.23161e-05,-2.42263e-05,-1.46013e-05,1.86288e-06,1.8637e-05,-7.12871e-06,7.71646e-06,3.5197e-06,0
-2.89668e-05,-1.07564e-05,-1.65292e-05,2.09797e-06,2.05445e-05,-5.10866e-06,8.21763e-06,2.03284e-06,0
-2.70687e-05,-3.01583e-06,-1.824e-05,3.997e-06,2.12078e-05,-2.9271e-06,8.59243e-06,1.30285e-06,0
-2.57372e-05,2.70833e-06,-1.83629e-05,6.88355e-06,2.1225e-05,-1.48142e-06,8.04972e-06,1.90533e-06,0
-2.44252e-05,6.87564e-06,-1.69729e-05,8.06801e-06,1.93066e-05,-3.71433e-07,5.98277e-06,1.31044e-06,0
-2.37553e-05,1.21152e-05,-1.56832e-05,5.73863e-06,1.57882e-05,-9.96371e-07,2.39783e-06,1.01127e-06,0
-2.41614e-05,1.63316e-05,-1.59247e-05,1.90461e-06,1.16366e-05,-3.02346e-06,1.14577e-06,1.17267e-06,0
-2.59953e-05,1.91732e-05,-1.69757e-05,-5.03478e-06,5.94741e-06,-6.1015e-06,4.28791e-06,1.94709e-06,0
-2.82127e-05,1.9965e-05,-1.62382e-05,-1.54569e-05,3.79895e-07,-9.09724e-06,1.06166e-05,1.8097e-06,0
-2.82991e-05,1.83513e-05,-1.36119e-05,-2.55632e-05,-3.06348e-06,-1.0316e-05,1.57967e-05,1.83597e-06,0
-2.69833e-05,1.47663e-05,-1.10025e-05,-3.36055e-05,-5.53926e-06,-1.06404e-05,1.86923e-05,2.9524e-06,0
-2.69288e-05,1.16042e-05,-9.96894e-06,-3.95666e-05,-6.70812e-06,-1.16844e-05,1.95054e-05,3.06893e-06,0
-2.80645e-05,1.14559e-05,-1.07356e-05,-4.52407e-05,-5.72618e-06,-1.30021e-05,1.95309e-05,1.3945e-06,0
