ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-2.77276e-05,1.4182e-05,-9.05103e-06,-2.21516e-05,7.55068e-06,-1.54793e-05,1.6271e-05,-2.76951e-06,0
-2.90181e-05,1.54947e-05,-9.44378e-06,-1.70643e-05,7.91377e-06,-1.37631e-05,1.77362e-05,-2.92024e-06,0
-2.96271e-05,1.66924e-05,-1.16503e-05,-1.08114e-05,9.77667e-06,-1.20152e-05,2.08802e-05,-5.69381e-07,0
-3.01062e-05,1.73549e-05,-1.44126e-05,-4.93254e-06,1.37374e-05,-1.18509e-05,2.32192e-05,1.90628e-06,0
-3.11025e-05,2.13137e-05,-1.67138e-05,-1.2595e-06,1.8996e-05,-1.31197e-05,2.39527e-05,6.4525e-07,0
-3.05733e-05,3.15886e-05,-1.72637e-05,-1.40806e-06,2.24442e-05,-1.28673e-05,2.42669e-05,-1.32185e-06,0
-2.82494e-05,4.40602e-05,-1.81643e-05,-2.02463e-06,2.36688e-05,-1.06442e-05,2.39291e-05,-2.76302e-07,0
-2.66949e-05,5.25577e-05,-1.94057e-05,6.01495e-08,2.46731e-05,-7.26795e-06,2.11773e-05,2.44678e-06,0
-2.65773e-05,5.45896e-05,-1.91045e-05,3.2754e-06,2.50401e-05,-4.47634e-06,1.73537e-05,3.98726e-06,0
-2.72097e-05,4.85914e-05,-1.74625e-05,6.15798e-06,2.3401e-05,-5.43151e-06,1.43916e-05,4.08581e-06,0
-2.84782e-05,3.35886e-05,-1.55646e-05,6.95676e-06,2.01065e-05,-1.10581e-05,1.21541e-05,3.43681e-06,0
-3.01482e-05,1.39851e-05,-1.3808e-05,8.40719e-06,1.60556e-05,-2.03782e-05,1.14898e-05,2.96738e-06,0
-3.09333e-05,-4.92967e-06,-1.22316e-05,1.26015e-05,1.29219e-05,-2.87302e-05,1.2337e-05,3.07975e-06,0
-3.04835e-05,-1.75364e-05,-1.13954e-05,1.92959e-05,1.29138e-05,-3.09142e-05,1.19337e-05,3.63758e-06,0
-3.01428e-05,-2.14086e-05,-1.091e-05,2.4157e-05,1.53161e-05,-2.814e-05,1.04499e-05,4.21407e-06,0
-3.07422e-05,-1.87257e-05,-9.92984e-06,2.3418e-05,1.72848e-05,-2.55226e-05,9.50022e-06,4.92845e-06,0
-3.12558e-05,-1.14708e-05,-8.96208e-06,1.86336e-05,1.63667e-05,-2.48969e-05,8.08545e-06,5.60641e-06,0
-3.12815e-05,-1.71209e-06,-8.45364e-06,1.39174e-05,1.38844e-05,-2.61355e-05,7.14085e-06,4.46488e-06,0
-3.17418e-05,5.16658e-06,-7.70346e-06,9.24045e-06,1.28739e-05,-2.61792e-05,8.08592e-06,1.96738e-06,0
-3.19835e-05,8.91784e-06,-7.04889e-06,3.7594e-06,1.23077e-05,-2.49149e-05,8.28192e-06,1.23828e-06,0
-3.15145e-05,1.34934e-05,-5.64479e-06,-4.20324e-07,1.00509e-05,-2.41413e-05,6.57211e-06,2.48975e-06,0
-3.01969e-05,1.75447e-05,-2.90633e-06,-3.9006e-06,7.86366e-06,-2.25255e-05,5.03576e-06,3.32739e-06,0
-2.79897e-05,1.7848e-05,3.17794e-07,-7.25352e-06,7.01019e-06,-1.87435e-05,3.69524e-06,3.52925e-06,0
-2.55462e-05,1.5255e-05,3.00691e-06,-1.02625e-05,5.96381e-06,-1.14851e-05,3.25017e-06,3.24904e-06,0
-2.43907e-05,1.337e-05,4.38996e-06,-1.00291e-05,5.79719e-06,-7.99607e-06,5.67886e-06,1.95556e-06,0
-2.45873e-05,1.09507e-05,4.09062e-06,-4.9423e-06,7.46001e-06,-7.72778e-06,9.82358e-06,1.00652e-06,0
-2.4231e-05,5.76428e-06,1.29699e-06,1.25967e-07,9.78198e-06,2.46023e-06,1.26824e-05,8.06769e-08,0
-2.31974e-05,2.06474e-06,-6.98018e-07,3.15275e-06,9.65558e-06,1.44709e-05,1.22153e-05,-5.16588e-07,0
-2.36441e-05,2.17889e-06,-2.42958e-06,6.69194e-06,6.80868e-06,1.45237e-05,1.03478e-05,2.25842e-08,0
-2.51721e-05,4.30214e-06,-4.80409e-06,9.59409e-06,4.35852e-06,6.37583e-06,9.8809e-06,-1.13065e-06,0
-2.59213e-05,8.0745e-06,-5.73672e-06,8.73211e-06,6.56994e-06,2.46397e-07,1.02265e-05,-2.16644e-06,0
-2.5818e-05,1.45209e-05,-7.28244e-06,4.56627e-06,1.36213e-05,3.86061e-08,1.02281e-05,-1.73841e-06,0
